+--------------------+--------+--------------------------------+
| ensembl_protein_id | count  | LENGTH(proteins.sequence) * 19 |
+--------------------+--------+--------------------------------+
| ENSP00000243997.3  |    969 |                            969 |
| ENSP00000350132.5  |    988 |                            988 |
| ENSP00000467661.1  |   1026 |                           1026 |
| ENSP00000245458.7  |   1064 |                           1064 |
| ENSP00000446524.1  |   1083 |                           1083 |
| ENSP00000332198.5  |   1216 |                           1216 |
| ENSP00000292079.2  |   1254 |                           1254 |
| ENSP00000361599.4  |   1254 |                           1254 |
| ENSP00000321260.3  |   1311 |                           1311 |
| ENSP00000472469.1  |   1311 |                           1311 |
| ENSP00000360492.4  |   1330 |                           1330 |
| ENSP00000432688.1  |   1349 |                           1349 |
| ENSP00000476100.1  |   1349 |                           1349 |
| ENSP00000470539.1  |   1387 |                           1387 |
| ENSP00000330730.3  |   1406 |                           1406 |
| ENSP00000400184.2  |   1406 |                           1406 |
| ENSP00000311083.5  |   1501 |                           1501 |
| ENSP00000361636.3  |   1520 |                           3040 |
| ENSP00000497474.1  |   1520 |                           1520 |
| ENSP00000256433.3  |   1558 |                           1558 |
| ENSP00000367939.3  |   1558 |                           1558 |
| ENSP00000222304.2  |   1596 |                           1596 |
| ENSP00000322181.8  |   1596 |                           1596 |
| ENSP00000490143.1  |   1596 |                           1596 |
| ENSP00000499044.1  |   1596 |                           1596 |
| ENSP00000239878.4  |   1615 |                           1615 |
| ENSP00000328412.5  |   1653 |                           1653 |
| ENSP00000368808.3  |   1672 |                           1672 |
| ENSP00000310275.2  |   1691 |                           1691 |
| ENSP00000418787.1  |   1729 |                           1729 |
| ENSP00000391280.2  |   1748 |                           1748 |
| ENSP00000400591.2  |   1748 |                           1748 |
| ENSP00000436622.2  |   1748 |                           1748 |
| ENSP00000480053.1  |   1748 |                           3496 |
| ENSP00000367189.3  |   1767 |                           1767 |
| ENSP00000287490.4  |   1843 |                           1843 |
| ENSP00000361993.3  |   1843 |                           1843 |
| ENSP00000264474.3  |   1862 |                           1862 |
| ENSP00000291568.6  |   1862 |                           1862 |
| ENSP00000227667.2  |   1881 |                           1881 |
| ENSP00000252102.5  |   1881 |                           1881 |
| ENSP00000306320.4  |   1900 |                           1900 |
| ENSP00000356969.3  |   1900 |                           1900 |
| ENSP00000343709.5  |   1909 |                           3819 |
| ENSP00000238892.3  |   1919 |                           1919 |
| ENSP00000252490.5  |   1919 |                           1919 |
| ENSP00000333255.6  |   1919 |                           1919 |
| ENSP00000468411.1  |   1919 |                           1919 |
| ENSP00000246515.1  |   1957 |                           1957 |
| ENSP00000252622.8  |   1957 |                           1957 |
| ENSP00000347168.2  |   1957 |                           1957 |
| ENSP00000445907.1  |   1957 |                           1957 |
| ENSP00000363189.4  |   1976 |                           3952 |
| ENSP00000368688.4  |   1976 |                           1976 |
| ENSP00000216068.4  |   1995 |                           1995 |
| ENSP00000354762.5  |   2014 |                           2014 |
| ENSP00000374562.5  |   2014 |                           2014 |
| ENSP00000331369.5  |   2033 |                           2033 |
| ENSP00000329686.4  |   2052 |                           4104 |
| ENSP00000229379.2  |   2071 |                           2071 |
| ENSP00000354223.6  |   2071 |                           2071 |
| ENSP00000450909.1  |   2071 |                           2071 |
| ENSP00000340644.3  |   2090 |                           4180 |
| ENSP00000370731.5  |   2090 |                           2090 |
| ENSP00000495672.1  |   2090 |                           2090 |
| ENSP00000287022.5  |   2109 |                           2109 |
| ENSP00000428171.1  |   2128 |                           2128 |
| ENSP00000262629.3  |   2147 |                           2147 |
| ENSP00000301939.3  |   2147 |                           2147 |
| ENSP00000296327.5  |   2154 |                           6460 |
| ENSP00000354643.4  |   2185 |                           4731 |
| ENSP00000368165.2  |   2185 |                           2185 |
| ENSP00000496643.1  |   2185 |                           2185 |
| ENSP00000314214.6  |   2204 |                           2204 |
| ENSP00000372005.2  |   2204 |                           2204 |
| ENSP00000303325.2  |   2208 |                           8835 |
| ENSP00000506835.1  |   2217 |                           6650 |
| ENSP00000391137.2  |   2218 |                           8873 |
| ENSP00000339511.3  |   2223 |                           2223 |
| ENSP00000309561.3  |   2242 |                           2242 |
| ENSP00000406327.2  |   2242 |                           2242 |
| ENSP00000281031.4  |   2261 |                           2261 |
| ENSP00000497910.1  |   2261 |                           2261 |
| ENSP00000286307.5  |   2280 |                           6840 |
| ENSP00000404056.2  |   2299 |                           2299 |
| ENSP00000320709.2  |   2318 |                           4636 |
| ENSP00000326604.7  |   2327 |                           9310 |
| ENSP00000322390.6  |   2328 |                           4655 |
| ENSP00000265643.3  |   2337 |                           2337 |
| ENSP00000290310.2  |   2337 |                           2337 |
| ENSP00000394466.2  |   2337 |                           9348 |
| ENSP00000300849.4  |   2353 |                          11761 |
| ENSP00000274137.6  |   2356 |                           2356 |
| ENSP00000355051.4  |   2356 |                           2356 |
| ENSP00000298198.4  |   2364 |                          11818 |
| ENSP00000358575.4  |   2364 |                          11818 |
| ENSP00000315693.3  |   2375 |                           2375 |
| ENSP00000438209.1  |   2382 |                           7144 |
| ENSP00000314606.6  |   2384 |                           9538 |
| ENSP00000356125.5  |   2387 |                          11932 |
| ENSP00000216029.3  |   2394 |                           2394 |
| ENSP00000229281.5  |   2394 |                           2394 |
| ENSP00000301645.3  |   2394 |                           9576 |
| ENSP00000304229.5  |   2394 |                           2394 |
| ENSP00000476140.1  |   2394 |                           2394 |
| ENSP00000495131.1  |   2403 |                          14421 |
| ENSP00000300107.3  |   2406 |                          12027 |
| ENSP00000335292.2  |   2432 |                           2432 |
| ENSP00000358703.1  |   2432 |                           2432 |
| ENSP00000360181.5  |   2432 |                           2432 |
| ENSP00000418842.3  |   2432 |                           2432 |
| ENSP00000420714.1  |   2432 |                           2432 |
| ENSP00000494884.1  |   2432 |                           2432 |
| ENSP00000295619.3  |   2451 |                           2451 |
| ENSP00000365159.4  |   2451 |                           2451 |
| ENSP00000382226.2  |   2451 |                           2451 |
| ENSP00000433424.1  |   2451 |                           2451 |
| ENSP00000311307.5  |   2470 |                           2470 |
| ENSP00000352627.3  |   2470 |                           2470 |
| ENSP00000361435.4  |   2470 |                           2470 |
| ENSP00000482538.2  |   2470 |                           2470 |
| ENSP00000362115.3  |   2478 |                          17347 |
| ENSP00000293330.1  |   2489 |                           2489 |
| ENSP00000321724.6  |   2489 |                           2489 |
| ENSP00000372059.2  |   2508 |                           2508 |
| ENSP00000302478.4  |   2527 |                           2527 |
| ENSP00000310596.4  |   2527 |                           2527 |
| ENSP00000495972.1  |   2527 |                           2527 |
| ENSP00000378898.4  |   2536 |                          20292 |
| ENSP00000305613.6  |   2546 |                           2546 |
| ENSP00000341625.4  |   2546 |                           2546 |
| ENSP00000353719.3  |   2546 |                           2546 |
| ENSP00000377296.2  |   2546 |                           2546 |
| ENSP00000425961.1  |   2546 |                           2546 |
| ENSP00000273986.4  |   2565 |                           2565 |
| ENSP00000498019.1  |   2565 |                           2565 |
| ENSP00000253788.5  |   2584 |                           2584 |
| ENSP00000355780.3  |   2584 |                           2584 |
| ENSP00000357674.5  |   2584 |                           2584 |
| ENSP00000446872.1  |   2584 |                           2584 |
| ENSP00000480826.2  |   2584 |                           2584 |
| ENSP00000483283.2  |   2584 |                           2584 |
| ENSP00000256592.1  |   2622 |                           2622 |
| ENSP00000356162.4  |   2622 |                           2622 |
| ENSP00000364249.3  |   2622 |                           2622 |
| ENSP00000366243.4  |   2627 |                          26277 |
| ENSP00000512526.1  |   2641 |                           2641 |
| ENSP00000308622.5  |   2653 |                          13262 |
| ENSP00000347602.3  |   2654 |                          23883 |
| ENSP00000225655.5  |   2660 |                           2660 |
| ENSP00000330389.4  |   2660 |                           2660 |
| ENSP00000369953.1  |   2660 |                           2660 |
| ENSP00000402732.2  |   2660 |                           2660 |
| ENSP00000311740.4  |   2679 |                           2679 |
| ENSP00000313332.9  |   2679 |                           2679 |
| ENSP00000370222.4  |   2679 |                           2679 |
| ENSP00000497294.2  |   2679 |                           2679 |
| ENSP00000251595.6  |   2698 |                           2698 |
| ENSP00000263270.6  |   2698 |                           2698 |
| ENSP00000269601.4  |   2698 |                           2698 |
| ENSP00000322421.5  |   2698 |                           2698 |
| ENSP00000324323.5  |   2698 |                           2698 |
| ENSP00000418428.3  |   2698 |                           2698 |
| ENSP00000296674.8  |   2717 |                           2717 |
| ENSP00000349923.4  |   2717 |                           2717 |
| ENSP00000433266.2  |   2721 |                          13604 |
| ENSP00000368927.5  |   2736 |                           2736 |
| ENSP00000423673.1  |   2736 |                           2736 |
| ENSP00000424870.1  |   2736 |                           2736 |
| ENSP00000438170.2  |   2736 |                           2736 |
| ENSP00000504762.1  |   2736 |                           2736 |
| ENSP00000255189.3  |   2743 |                          16454 |
| ENSP00000280362.3  |   2755 |                           2755 |
| ENSP00000330737.2  |   2755 |                           2755 |
| ENSP00000355324.2  |   2755 |                          19285 |
| ENSP00000440638.1  |   2755 |                           2755 |
| ENSP00000470972.1  |   2755 |                           2755 |
| ENSP00000498177.1  |   2755 |                           2755 |
| ENSP00000317271.4  |   2774 |                           2774 |
| ENSP00000366124.3  |   2774 |                           2774 |
| ENSP00000237014.4  |   2793 |                           2793 |
| ENSP00000333994.3  |   2793 |                           2793 |
| ENSP00000338082.4  |   2793 |                           2793 |
| ENSP00000368455.1  |   2793 |                           2793 |
| ENSP00000381077.4  |   2793 |                           2793 |
| ENSP00000497529.1  |   2793 |                           2793 |
| ENSP00000347847.5  |   2798 |                          19589 |
| ENSP00000261267.2  |   2812 |                           2812 |
| ENSP00000482968.1  |   2829 |                          79192 |
| ENSP00000272298.7  |   2831 |                           2831 |
| ENSP00000291295.8  |   2831 |                           2831 |
| ENSP00000311313.2  |   2831 |                           2831 |
| ENSP00000349467.4  |   2831 |                           2831 |
| ENSP00000287600.4  |   2850 |                           2850 |
| ENSP00000493142.2  |   2850 |                           2850 |
| ENSP00000341940.2  |   2869 |                           2869 |
| ENSP00000365663.3  |   2869 |                           2869 |
| ENSP00000378812.3  |   2869 |                           2869 |
| ENSP00000451112.2  |   2869 |                           2869 |
| ENSP00000494423.1  |   2869 |                          20083 |
| ENSP00000360613.2  |   2888 |                           2888 |
| ENSP00000362777.3  |   2888 |                           2888 |
| ENSP00000226730.5  |   2907 |                           2907 |
| ENSP00000274606.4  |   2907 |                           2907 |
| ENSP00000337612.7  |   2907 |                           2907 |
| ENSP00000367042.3  |   2907 |                           2907 |
| ENSP00000270142.7  |   2926 |                           2926 |
| ENSP00000452007.1  |   2926 |                           2926 |
| ENSP00000329757.4  |   2945 |                           2945 |
| ENSP00000355574.5  |   2945 |                           2945 |
| ENSP00000376896.2  |   2945 |                           2945 |
| ENSP00000484687.1  |   2945 |                           2945 |
| ENSP00000307101.5  |   2964 |                           2964 |
| ENSP00000494576.2  |   2964 |                           2964 |
| ENSP00000328570.4  |   2983 |                           2983 |
| ENSP00000330289.5  |   3002 |                           3002 |
| ENSP00000336666.5  |   3002 |                           3002 |
| ENSP00000371234.4  |   3002 |                           3002 |
| ENSP00000361708.3  |   3021 |                           3021 |
| ENSP00000425144.1  |   3021 |                           3021 |
| ENSP00000308937.3  |   3040 |                           3040 |
| ENSP00000346027.4  |   3040 |                           3040 |
| ENSP00000482581.1  |   3040 |                           3040 |
| ENSP00000500695.1  |   3040 |                           3040 |
| ENSP00000232975.3  |   3059 |                           3059 |
| ENSP00000483114.1  |   3059 |                           3059 |
| ENSP00000278826.5  |   3078 |                           3078 |
| ENSP00000497915.1  |   3078 |                           3078 |
| ENSP00000219204.3  |   3097 |                           3097 |
| ENSP00000378426.2  |   3097 |                           3097 |
| ENSP00000387209.4  |   3097 |                           3097 |
| ENSP00000388431.3  |   3097 |                           3097 |
| ENSP00000308193.5  |   3116 |                           3116 |
| ENSP00000354782.5  |   3116 |                           3116 |
| ENSP00000369647.3  |   3116 |                           3116 |
| ENSP00000496832.1  |   3135 |                           3135 |
| ENSP00000497917.1  |   3135 |                           3135 |
| ENSP00000216185.2  |   3154 |                           3154 |
| ENSP00000253233.1  |   3154 |                           3154 |
| ENSP00000298159.6  |   3154 |                           3154 |
| ENSP00000301761.3  |   3154 |                           3154 |
| ENSP00000310623.9  |   3173 |                           3173 |
| ENSP00000312624.2  |   3173 |                           3173 |
| ENSP00000352540.3  |   3173 |                           3173 |
| ENSP00000356982.5  |   3173 |                           3173 |
| ENSP00000215375.1  |   3192 |                           3192 |
| ENSP00000318650.4  |   3192 |                           3192 |
| ENSP00000360826.3  |   3192 |                           3192 |
| ENSP00000253452.2  |   3211 |                           3211 |
| ENSP00000296597.5  |   3211 |                           3211 |
| ENSP00000356953.3  |   3211 |                           3211 |
| ENSP00000300692.4  |   3249 |                           3249 |
| ENSP00000493902.2  |   3249 |                           3249 |
| ENSP00000220531.4  |   3268 |                           3268 |
| ENSP00000268668.6  |   3268 |                           3268 |
| ENSP00000306697.5  |   3268 |                           3268 |
| ENSP00000362873.3  |   3268 |                           3268 |
| ENSP00000291554.2  |   3287 |                           3287 |
| ENSP00000319531.3  |   3287 |                           3287 |
| ENSP00000352455.2  |   3287 |                           3287 |
| ENSP00000359103.3  |   3287 |                           3287 |
